id,clause_v1,clause_v2,section,text_v1,text_v2,annotator_change_type,annotator_alignment_ok,annotator_notes
65,Table B5,,Requirement B5 page 96,"Thermoplastic materials 4.13, Appendix B12 Unwired glass in rooflights 12.8 Guarding 3.18-3.24 Upper storeys a maximum of 4.5m above ground Flat roof forming escape route 2.14, 3.11 H level 3.14-3.17 In mixed use buildings 3.76-3.77 Protected shafts 7.21-7.29 See also Sheltered housing; Student Habitable rooms accommodation Floor finishes Basement storeys 2.16, 3.9 Extensions 1.8 Handicapped people Common escape routes 3.39 Floor level Ramps and sloping floors 3.40 Single steps on escape routes 3.84 Floors See Disabled people Hardstandings Fire service vehicles 13.1-13.4 Hardware Area measurement Diagram D3 Loft conversions 5.4 See also Compartment floors Floor space factors Table D1 Flues Fire doors Appendix C15 Hazards See Places of special fire hazard; Risk Health and safety page 96, 0.8 Fire resistance 9.23, Table B3 Heat alarms Integrity Multi-storey flats 3.21 Power supply 1.4 Standards 1.3 Heat and smoke outlets Compartment walls 7.14 Fire doorsets Appendix C1, Table C1 Resistance to fire penetration Appendix B19,",,,,
66,Diagram 2.2,Diagram 2.2,"Section 3 , Diagram 3.4.",". Within fire resisting separation either: a. shown in Diagram 2.4 b. described in paragraph 2.16b. 4. Existing window between an attached/ integral garage and the dwellinghouse. 5. Adjacent to an external escape stair (see paragraph 2.17 and Diagram 2.7) or roof escape route (see paragraph 2.13). General (except dwellinghouses) 6. Between residential/sleeping Nil Nil Nil Nil accommodation and a common escape route (corridor, lobby or stair). Between a protected stairway(1) and either: Nil 25% of door area above 1100mm(2) 50% of door area a. the accommodation b. a corridor that is not a protected corridor other than in item 6 above. 8. Between either: a. a protected stairway(1) and a protected lobby or protected corridor b. accommodation and a protected lobby other than in item 6 above. Between the accommodation and a protected corridor that forms a dead end, other than in item 6 above. 10. Between accommodation and any other corridor, or sub-dividing corridors, other than in item 6 above. 11. Beside an external escape route. 132 Approved Document B Volume 1, 2019 edition B",". 3. Within fire resisting separation either: a. shown in Diagram 2.4 b. described in paragraph 2.16b. 4. Existing window between an attached/ integral garage and the dwellinghouse. 5. Adjacent to an external escape stair (see paragraph 2.17 and Diagram 2.7) or roof escape route (see paragraph 2.13). General (except dwellinghouses) 6. Between residential/sleeping accommodation and a common escape route (corridor, lobby or stair). Nil Nil Nil Nil 7. Between a protected stairway(1) and either: Nil 25% of door area above 1100mm(2) 50% of door area a. the accommodation b. a corridor that is not a protected corridor other than in item 6 above. 8. Between either: a. a protected stairway(1) and a protected lobby or protected corridor b. accommodation and a protected lobby other than in item 6 above. 9. Between the accommodation and a protected corridor that forms a dead end, other than in item 6 above. 10. Between accommodation and any other corridor, or sub-dividing corridors, other than in item 6 above. 11. Beside an external escape route. B",,,
67,11.9,11.9,Section 11 Resisting fire spread from one,"Unprotected areas should not exceed the result given by one of the methods in paragraph 11.16, and the rest of the wall (if any) should be fire resisting but only from the inside of the building. External walls of protected stairways","Unprotected areas should not exceed the result given by one of the methods in paragraph 11.16, and the rest of the wall (if any) should be fire resisting but only from the inside of the building. External walls of protected stairways",,,
68,Appendix C,Appendix C,"Appendix C , Table C1.",", Table C1. 7.5m max. F Flat Shaded areas indicate zones where ventilation should be provided in accordance with paragraphs 3.50 to 3.53 (An external wall vent or smoke shaft located anywhere in the shaded area) F F",", Table C1. Fd F Fd Fd F The door between stair and lobby should be free from security fastenings. If the fats have protected entrance halls, the lobby between the common stair and fat entrance is not essential.",,,
69,3.104,3.104,"Appendix C , Table C1.","A lift shaft serving storeys above ground level should not serve any basement, if either of the following applies. a. There is only one escape stair serving storeys above ground level and smoke from a basement fire would adversely affect escape routes in the upper storeys. b. The lift shaft is within the enclosure to an escape stair that terminates at ground level.","A lift shaft serving storeys above ground level should not serve any basement, if either of the following applies. a. There is only one escape stair serving storeys above ground level and smoke from a basement fire would adversely affect escape routes in the upper storeys. b. The lift shaft is within the enclosure to an escape stair that terminates at ground level.",,,
70,,Table B1,"Section 3 , Diagram 3.11).",,"Continued Minimum provisions when tested and classified to the relevant European standard (minutes)(1) or assessed following the recommendations of paragraphs B1 to B5 (minutes)(2) Type of exposure 15. Fire resisting construction a. construction that encloses places of special fire hazard 30 min 30 min 30 min b. construction between store rooms and sales area in shops 30 min 30 min 30 min c. fire resisting sub-division 30 min 30 min 30 min d. construction that encloses bedrooms and ancillary accommodation in care homes. 30 min 30 min 30 min 16. Enclosure in a flat to a protected entrance hall, or to a protected landing. 30 min 30 min 30 min(8) 17. Cavity barrier 30 min 15 min 18. Ceiling see paragraph 2.5 and Diagram 2.3; paragraph 8.5 and Diagram 8.3. 30 min 30 min From underside 19. Duct described in paragraph 5.24e. 30 min No provision From outside 20. Casing around a drainage system described in Diagram 9.1. 30 min No provision From outside 21. Flue walls described in Diagram 9.5. Half the period given in Table B2 for the compartment wall/floor Half the period given in Table B2 for the compartment wall/floor From outside 22. Construction described in note (a) to paragraph 12.9…",,,
71,,15.14,Section 15 Access to buildings for firefighting,,"The floor identification signs should meet all of the following conditions. a. The signs should be located on every landing of a protected stairway and every protected corridor/lobby (or open access balcony) into which a firefighting lift opens. b. The text should be in sans serif typeface with a letter height of at least 50mm. The height of the numeral that designates the floor number should be at least 75mm. c. The signs should be visible from the top step of a firefighting stair and, where possible, from inside a firefighting lift when the lift car doors open. d. The signs should be mounted between 1.7m and 2m above floor level and, as far as practicable, all the signs should be mounted at the same height. e. The text should be on a contrasting background, easily legible and readable in low level lighting conditions or when illuminated with a torch. B5",,,
72,Requirement B2,Requirement B2,Requirement B2 : Internal fire spread (linings),"page 42 J Fire doors Appendix C10 Historic buildings See Buildings of architectural or historical interest Hose laying distances 15.7, Diagram 15.3 House conversions Joists Openings for 5.9, 7.6 Junctions Conversion to flats 6.5-6.7 See also Loft conversions Hydraulic platforms Compartment wall or floor with other walls See High reach appliances I 7.12-7.14 Compartment wall with roof 5.11-5.15, 7.15-7.18,","Internal fire spread (linings) This section deals with the following requirement from Part B of Schedule 1 to the Building Regulations 2010. Limits on application Internal fre spread (linings) B2. (1) To inhibit the spread of fire within the building, the internal linings shall-
(a) adequately resist the spread of flame over their surfaces; and
(b) have, if ignited, either a rate of heat release or a rate of fire growth, which is reasonable in the circumstances. (2) In this paragraph ""internal linings"" means the materials or products used in lining any partition, wall, ceiling or other internal structure. In the Secretary of State's view, requirement B2 is met by achieving a restricted spread of flame over internal linings. The building fabric should make a limited contribution to fire growth, including a low rate of heat release. It is particularly important in circulation spaces, where linings may offer the main means by which fire spreads and where rapid spread is most likely to prevent occupants from escaping.",,,
73,,B2,"Appendix B Performance of materials,",,"Any test evidence used to demonstrate the fire performance classification of a product or system should be carefully checked to ensure that it is applicable to the intended use. Small differences in detail, such as fixing method, joints, dimensions, the introduction of insulation materials and air gaps (ventilated or not), might significantly affect the performance and should be tested or assessed in accordance with paragraph B1.",,,
74,3.108,,"Appendix C , Table C1.",Final exit locations should be clearly visible and recognisable.,,,,
75,Table B3,Table B3,Appendix C,"Continued Part of building provisions when tested to the relevant European standard (minutes)(1) Alternative minimum provisions when tested to the relevant part of BS 476(2) (minutes) Type of exposure Loadbearing capacity(3) Integrity Insulation 9. Enclosure (that does not form part of a compartment wall or a protected shaft) to a: a. protected stairway REI 30(8) 30 min 30 min 30 min(8) b. lift shaft. 30 min 30 min 30 min 10. Wall or floor REI 30(8) 30 min 30 min 30 min(8) From garage side separating an attached or integral garage from a dwellinghouse 11. Fire resisting REI 30(8) 30 min 30 min 30 min(8) construction in dwellinghouses not described elsewhere 12. Firefighting shafts REI 120 120 min 120 min 120 min From side remote from shaft a. construction that REI 60 60 min 60 min 60 min From shaft side separates firefighting shaft from rest of building b. construction that REI 60 60 min 60 min 60 min separates firefighting stair, firefighting lift shaft and firefighting lobby. 13. Enclosure (that is not a compartment wall or described in item
8) to a: a. protected lobby REI 30(8) 30 min 30 min 30 min(8) b. protected corridor. REI 30(8) 30 min 30 min 30 min(8) 14. Sub-division of …","Limitations on the use of uninsulated glazed elements on escape routes. These limitations do not apply to glazed elements that satisfy the relevant insulation criterion, see Table B1 Position of glazed element Maximum total glazed area in parts of a building with access to: A single stair More than one stair Flats 1. Within the enclosures of a protected entrance hall or protected landing, or within fire resisting separation shown in",,,
76,Diagram A1,Diagram A1,"Appendix D , paragraphs D1 to D4.","Recessed car parking areas 118 Approved Document B Volume 1, 2019 edition B","Recessed car parking areas 126 Approved Document B Volume 1, 2019 edition B",,,
77,Table B5,,"Section 3 , Diagram 3.4.","Continued Position of glazed element Maximum total glazed area in parts of a building with access to: A single stair More than one stair Walls Door leaf Walls Door leaf 12. Beside an external escape stair (see paragraph 3.68 and Diagram 3.11) or roof escape route (see paragraph 3.30). Items 1 and 8 apply also to single storey buildings. Fire resisting glass should be marked with the name of the manufacturer and the name of the product. Further guidance can be found in A Guide to Best Practice in the Specification and Use of Fire-resistant Glazed Systems published by the Glass and Glazing Federation. 1. If the protected stairway is also a protected shaft or a firefighting stair (see Section 15), there may be further restrictions on the use of glazed elements. 2. Measured vertically from the landing floor level or the stair pitch line. 3. The 100mm limit is intended to reduce the risk of fire spreading from a floor covering. C",,,,
78,7.9,7.9,Section 7 Compartmentation/sprinklers - flats,Compartment walls forming a separated part of a building should run the full height of the building in a continuous vertical plane. Separated parts can be assessed independently to determine the appropriate standard of fire resistance in each. The two separated parts can have different standards of fire resistance. Other compartment walls,Compartment walls forming a separated part of a building should run the full height of the building in a continuous vertical plane. Separated parts can be assessed independently to determine the appropriate standard of fire resistance in each. The two separated parts can have different standards of fire resistance. Other compartment walls,,,
79,10.10,10.10,Section 10 Resisting fire spread over,"Regulation 7(2) applies to any building with a storey at least 18m above ground level (as measured in accordance with Diagram D6 in Appendix D) and which contains one or more dwellings; an institution; or a room for residential purposes (excluding any room in a hostel, hotel or a boarding house). It requires that all materials which become part of an external wall or specified attachment achieve class A2-s1, d0 or class A1, other than those exempted by regulation 7(3). NOTE: The above includes student accommodation, care homes, sheltered housing, hospitals and dormitories in boarding schools. See regulation 7(4) for the definition of relevant buildings. NOTE: The requirement in regulation 7(2) is limited to materials achieving class A2-s1, d0 or class A1.","In buildings that include a 'residential' purpose (purpose groups 1 and 2) with a storey 11m or more in height (see Diagram D6 in Appendix D) balconies should meet either of the following conditions. a. Only contain materials achieving class A1 or A2-s1, d0, except for any of the following. i. Cavity trays when used between two leaves of masonry. ii. Intumescent and fire-stopping materials where the inclusion of the materials is necessary to meet the requirements of Part B of Schedule 1 to the Building Regulations 2010. Membranes. iv. Seals, gaskets, fxings, sealants and backer rods. v. Thermal break materials where the inclusion of the materials is necessary to meet the thermal bridging requirements of Part L of Schedule 1 to the Building Regulations 2010. vi. Any material achieving class A1f or A2f-s1 when it forms the top horizontal foor layer of a balcony and is provided with an imperforate substrate under it which extends to the full size of the class A1f or A2f-s1 material. vii. Electrical installations. viii. Fibre optic cables. b. Achieve both of the following conditions. i. Have an imperforate soft which extends to the full area of the balcony, achieves a minimum REI 30 r…",,,
80,3.24,3.24,Section 9,"For flats serving as a workplace for both occupants and people who do not live on the premises, provide both of the following. a. A maximum travel distance of 18m between any part of the working area and either of the following. i. The flat entrance door. ii. An alternative means of escape that is not a window. If the travel distance is over 18m, the assumptions in paragraph 3.2 may not be valid. The design should be considered on a case-by-case basis. b. Escape lighting to windowless accommodation in accordance with BS 5266-1. B1 Means of escape in the common parts of flats","For flats serving as a workplace for both occupants and people who do not live on the premises, provide both of the following. a. A maximum travel distance of 18m between any part of the working area and either of the i. The flat entrance door. ii. An alternative means of escape that is not a window. If the travel distance is over 18m, the assumptions in paragraph 3.2 may not be valid. The design should be considered on a case-by-case basis. b. Escape lighting to windowless accommodation in accordance with BS 5266-1. B1 Means of escape in the common parts of flats",,,
81,7.11,7.11,Section 7 Compartmentation/sprinklers - flats,Compartment walls in a top storey beneath a roof should be continued through the roof space. Junction of compartment wall or compartment floor with other walls,Compartment walls in a top storey beneath a roof should be continued through the roof space. Junction of compartment wall or compartment floor with other walls,,,
82,Table 0.1,Table 0.1,Requirement B1 page 8,"Residential use Height of top storey in building Diagram D6 Rooms Purpose groups Table 0.1 S Smoke alarms Access rooms 2.12, 3.8 Circulation spaces 1.9 Material alterations 1.9 Multi-storey flats 3.21 Power supply 1.4 Standards 1.2 Smoke and fumes Safety signs and signals Fire doors Appendix C11 Seals Proprietary pipe seals 9.3 Security Compatibility with escape 3.77, 3.91-3.92 Self-closing devices Smoke leakage of fire doors Appendix C1 to C2, Common corridors 3.35-3.36 External escape stairs 3.68 Fire doorsets 3.36, Appendix C5 to C6 See also Automatic release mechanisms Semi-detached houses","Residential use Purpose groups Table 0.1 Revolving doors 3.98 Risk Safety signs and signals Fire doors Appendix C11 Seals Insurance 0.7 See also Places of special fre hazard Rolling shutters 15.12, Appendix C9 Roof coverings Proprietary pipe seals 9.3 Secure information boxes 15.18-15.21 Security Compatibility with escape 3.77, 3.91-3.92 Self‐closing devices External fre spread 12.1-12.9 Separation distances for roofs 12.3-12.9, Tables 12.1-12.3 Junction of compartment wall with roof 5.11-5.15, Common corridors 3.35-3.36 External escape stairs 3.68 Fire doorsets 3.36, Appendix C5 to C6 See also Automatic release mechanisms Semi‐detached houses 7.15-7.18, Diagram 5.2 Slates and tiles 5.22 Thatch 12.9 Wood shingles 12.9 Roofights B3 requirement page 54, 5.5 Separated parts of buildings Area measurement Diagram D3 Defnition of ceilings 4.6 Fire resistance 4.7 Plastic 4.7, 4.14, 5.12, 12.5-12.7 Compartment walls 7.9 Separation distances Buildings with sprinkler systems 11.21 Canopies 11.12-11.13, Diagram 11.6 Roofs 11.14, 12.3-12.9, Table 12.1 See also Unprotected areas Service openings Fire resistance Appendix B11 Layout restrictions Diagrams 4.2 to 4.3 Limitations on spacing and siz…",,,
83,3.31,3.31,Section 9,"The following paragraphs deal with means of escape from the entrance doors of flats to a final exit.
3.32 Escape route travel distances should comply with Table 3.1.",Interlocked stairs should be considered as a single escape route and do not constitute an alternative means of escape. Small single stair buildings,,,
84,Diagram D2,Diagram D2,Appendix D Methods of measurement,"Cubic capacity a. Surface area: roofs and rooflights In each case measure the visible area Measure from outermost point of roof at eaves or verge Lowest point of roof slope at eaves If a hipped roof, measure to outermost point of roof at base area Roof sheeting If a lean-to roof, measure from the face of wall to the outermost point of roof Outermost point of roof Highest point of roof slope Rooflight Section Section Elevation Section i. Flat or monopitch roof ii. Double pitch roof iii. Rooflight b. Floor area: Room, garage, conservatory or outbuilding, measure to inner surface of enclosing walls c. Floor area: Storey, part or compartment, measure to inner surface of enclosing walls and include internal walls and partitions When there is not an outer enclosing wall, measure to the outermost edge of the floor slab","Cubic capacity a. Surface area: roofs and rooflights In each case measure the visible area Measure from Lowest point If a hipped roof, Roof sheeting outermost point of of roof slope measure to outermost roof at eaves or verge at eaves point of roof at base area If a lean-to roof, Outermost measure from the Highest point point face of wall to the of roof slope of roof outermost point of roof Roofight Section Section Elevation Section i. Flat or monopitch roof ii. Double pitch roof iii. Rooflight b. Floor area: Room, garage, conservatory or outbuilding, measure to inner surface of enclosing walls c. Floor area: Storey, part or compartment, measure to inner surface of enclosing walls and include internal walls and partitions When there is not an outer enclosing wall, measure to the outermost edge of the foor slab",,,
85,3.106,,"Appendix C , Table C1.","People should be able to rapidly leave the area around the building. Direct access to a street, passageway, walkway or open space should be available. The route away from the building should comply with the following. a. Be well defined. b. If necessary, have suitable guarding.",,,,
86,,Section 3,"Section 3 , Diagram 3.4.",,", Diagram 3.4. Fixed fanlights only Fixed fanlights only Dwellinghouses 2. Within either: from floor or pitch of the stair from floor or pitch of the stair a. the enclosures of a protected stairway b. fire resisting separation shown in",,,
87,5.21,5.21,Section 5 Internal fire spread - dwellinghouses,"Cavity barriers in a stud wall or partition, or provided around openings, may be formed of any of the following. a. Steel, a minimum of 0.5mm thick. b. Timber, a minimum of 38mm thick. c. Polythene-sleeved mineral wool, or mineral wool slab, under compression when installed in the cavity. d. Calcium silicate, cement-based or gypsum-based boards, a minimum of 12mm thick. These do not necessarily achieve the performance specified in paragraph 5.20. NOTE: Cavity barriers provided around openings may be formed by the window or door frame, if the frame is constructed of steel or timber of the minimum thickness in (a) or (b), as appropriate.","Cavity barriers in a stud wall or partition, or provided around openings, may be formed of any of the following. a. Steel, a minimum of 0.5mm thick. b. Timber, a minimum of 38mm thick. c. Polythene-sleeved mineral wool, or mineral wool slab, under compression when installed in the cavity. d. Calcium silicate, cement-based or gypsum-based boards, a minimum of 12mm thick. These do not necessarily achieve the performance specified in paragraph 5.20. NOTE: Cavity barriers provided around openings may be formed by the window or door frame, if the frame is constructed of steel or timber of the minimum thickness in (a) or (b), as appropriate.",,,
88,Table 11.1,,Requirement B1 page 8,"External walls of protected stairways 11.10 External wall within 1000mm of relevant Enclosure Diagram 9.1 Windows boundary 11.8 Fire resistance 11.6-11.7, Diagram 11.4 Small unprotected areas 11.11, Diagram 11.5 Space separation Diagram 11.1 uPVC Definition of walls and ceilings 4.2-4.3, 4.5-4.6 Emergency egress 2.10, 3.6 Replacement 2.18-2.20 Thermoplastic materials 4.13 See also Glazing; Rooflights Wiring Rooflights 12.7, Tables 12.1 to 12.3 TP(a) rigid sheet Appendix B13 Utility rooms See Electrical wiring Wood shingles 12.9 Workmanship and materials page iii Inner rooms 2.11, 3.7 V Regulation 7 pages 76-77 Vehicle access See Fire service facilities Ventilation Protected shafts 7.28 Smoke control 3.49-3.54 Ventilation ducts 9.6-9.22 Appliances 9.23 Openings in compartment walls or floors 7.20 Passing through fire-separating elements 9.12-9.22 Protected escape routes 9.16-9.17, Diagrams 9.3 to 9.4 Protected shafts 7.26 Protected stairways and entrance halls 2.9, 3.23 Vertical escape See Escape stairs; Protected stairways Vision panels 3.97 166 Approved Document B Volume 1, 2019 edition List of approved documents The following documents have been published to give guidance on how…",,,,
89,,Table B2,Appendix C,,"Continued Purpose group of building Minimum periods of fire resistance(1) (minutes) in a: Basement storey* Ground or upper storey including floor over Depth (m) of the lowest Height (m) of top floor above ground, in a building or basement separated part of a building Up to 10 Up to 5 Up to 11 Up to 18 Up to 30 b. car park for light vehicles: i. open sided car park(7) Not Not 15 min†# 15 min†#(8) 15 min†#(8) 15 min†#(8) 60 min applicable applicable ii. any other car park 90 min 60 min 30 min† 60 min 60 min 90 min 120 min‡ For single storey buildings, the periods under the heading 'Up to 5' apply. If single storey buildings have basements, for the basement storeys the period appropriate to their depth applies. * For the floor over a basement or, if there is more than one basement, the floor over the topmost basement, the higher of the period for the basement storey and the period for the ground or upper storey applies. † For compartment walls that separate buildings, the period is increased to a minimum of 60 minutes. + For any floor that does not contribute to the support of the building within a flat of more than one storey, the period is reduced to 30 minutes. § For flat conversi…",,,
90,B3,B3,"Appendix B Performance of materials,",Assessments should not be regarded as a way to avoid a test where one is necessary. Assessments should only be carried out where sufficient relevant test evidence is available. Relevant test evidence is unlikely to be provided by test standards which have different classification criteria.,Assessments should not be regarded as a way to avoid a test where one is necessary. Assessments should only be carried out where sufficient relevant test evidence is available. Relevant test evidence is unlikely to be provided by test standards which have different classification criteria.,,,
91,Table B5,,Appendix C,"Limitations on the use of uninsulated glazed elements on escape routes. These limitations do not apply to glazed elements that satisfy the relevant insulation criterion, see Table B3 Position of glazed element Maximum total glazed area in parts of a building with access to: A single stair More than one stair Walls Door leaf Walls Door leaf Flats Within the enclosures of a protected entrance hall or protected landing, or within fire resisting separation shown in",,,,
92,,Diagram 3.8,Section 9,,Horizontal escape for flats served by more than one common stair B1 2026 amendment - effective from 30 September 2026 Design for vertical escape,,,
93,,Diagram 13.1,Requirement B1 page 8,,", Table 13.1 Turntable ladders to 9.4 Protected shafts 7.26 Protected stairways and entrance halls 2.9, 3.23 Vertical escape See High reach appliances See Escape stairs; Protected stairways Vision panels 3.97 W Cavity barriers in stud walls or partitions 5.21 Defnition 4.2-4.3 Elements of structure 5.3, 6.2 Fire resistance 8.3, Table B1 See also Cavity walls; Compartment walls; External walls; Internal linings Water supplies Firefghting 14.12-14.13 Sprinkler systems Appendix E5 to E6 Water supply pipes Enclosure Diagram 9.1 Wayfnding signage 15.13-15.16 Windows Defnition of walls and ceilings 4.2-4.3, 4.5-4.6 Emergency egress 2.10, 3.6 Replacement 2.18-2.20 Thermoplastic materials 4.13 See also Glazing; Roofights Wiring See Electrical wiring Wood shingles 12.9 Workmanship and materials page ii Regulation 7 pages 81-82 192 Approved Document B Volume 1, 2019 edition List of Approved Documents The following documents have been published to give guidance on how to meet the Building Regulations. You can fnd the date of the edition approved by the Secretary of State at www.gov.uk. Approved Document A Structure Approved Document L Conservation of fuel and power Volume 1: Dwellings Approv…",,,
94,,3.29,"Appendix C , Table C1.",,Paragraph 3.27 may be modified using the guidance in clause 7.3 of BS 9991. Escape routes over flat roofs,,,
95,Diagram D3,Diagram D3,Appendix D Methods of measurement,"Area D Highest point of roof slope Highest point of parapet (including coping) Highest point of roof slope Equal Mean roof Equal Mean roof Lowest point of roof slope Height of building a b Highest level of ground adjacent to outside walls Top level of gutter Mean ground Mean ground Use height a or b, whichever is greater Lowest level of ground adjacent to outside walls a. Double pitch roof b. Mansard type roof Highest point of roof slope Mean roof Equal Lowest point of roof slope Height of building Highest level of ground adjacent to outside walls Mean ground Lowest level of ground adjacent to outside walls c. Flat or monopitch roof","Area D Highest point Highest point of of roof slope parapet (including Highest point of roof slope coping) Equal Mean roof level Mean roof Equal level Lowest point of roof slope Height of building a Top level of gutter b Highest level of ground adjacent to outside walls Mean ground level Mean ground level Use height a or b, whichever is greater Lowest level of ground adjacent to outside walls a. Double pitch roof b. Mansard type roof Highest point of roof slope Mean roof level Equal Lowest point of roof slope Height of building Highest level of ground adjacent to outside walls Mean ground level Lowest level of ground adjacent to outside walls c. Flat or monopitch roof",,,
96,Table B1,Table B1,"Appendix B Performance of materials,","Reaction to fire classifications: transposition to national class BS EN 13501-1 classification Transposition A1 Material that, when tested to BS 476-11, does not either: a. flame b. cause a rise in temperature on either the thermocouple at the centre of the specimen or in the furnaces A2-s1, d0 None A2-s3, d2 Material that meets either of the following. a. Any material of density 300kg/m3 or more, which, when tested to BS 476-11, complies with both of the following: i. does not flame ii. causes a rise in temperature on the furnace thermocouple not exceeding 20°C b. Any material of density less than 300kg/m3, which, when tested to BS 476-11, complies with both of the following: i. does not flame for more than 10 seconds ii. causes a rise in temperature on the thermocouple at the centre of the specimen or in the furnace that is a maximum of 35°C and on the furnace thermocouple that is a maximum of 25°C B-s3, d2 Any material that meets both of the following criteria. a. Class 1 in accordance with BS 476-7. b. Has a fire propagation index (I) of a maximum of 12 and sub-index (i1) of a maximum of 6, determined by using the method given in BS 476-6. Index of performance (I) relates to t…","Specific provisions of the test for fire resistance of elements of structure, etc. provisions when tested to the relevant European standard (minutes)(1) Alternative minimum provisions when tested to the relevant part of BS 476(2) (minutes) Type of exposure 1. Structural frame, R see Table B2 beam or column. Exposed faces 2. Loadbearing wall R see Table B2 (for a wall which is also described in any of the following items, the more onerous guidance should be applied). 3. Floors(4) a. between a shop and REI 60 or flat above greater) 60 min or greater) 60 min or greater) 60 min or greater) From underside(5) b. in upper storey R 30 and EI 15 of two storey dwellinghouse (but not over garage or basement) 30 min 15 min 15 min From underside(5) c. any other floor REI see Table B2 - including compartment floors. From underside(5) 4. Roofs a. any part forming an escape route 30 min 30 min 30 min From underside(5) b. any roof that REI see Table B2 performs the function of a floor. From underside(5) B",,,
97,3.67,3.67,"Appendix C , Table C1.","Where more than one escape route is available from a storey (or part of a building), then some of the escape routes from that storey or part of the building may be by way of an external stair provided all of the following conditions are met: a. There is a at least one internal escape stair from every part of each storey (excluding plant areas). b. The stair serves a floor not more than 6m above either the ground level or a roof podium which is itself served by an independent protected stairway. c. The stair meets the provisions in paragraph 3.68. B1 See para 3.68 doorset No fire resistance required for door EXAMPLE a. window (minimum RE 30) 1100mm zone above top landing 1.8m 1800mm zone of fire resisting construction at side of stair Fire doorset (minimum E 30) fitted with a self-closing device 6m maximum height of stair Ground level or a roof or podium served by an independent stairway EXAMPLE b. 1100mm zone above top landing 6m maximum height of stair without weather protection 1.8m 1.8m 9m zone of fire resisting construction below stair Ground level or a roof or podium served by an independent stairway SECTION B-B SECTION A-A A B B 1.8m 1.8m A PLAN
Diagram 3.11 Fire resistance …","Where more than one escape route is available from a storey (or part of a building), then some of the escape routes from that storey or part of the building may be by way of an external stair provided all of the following conditions are met: a. There is a at least one internal escape stair from every part of each storey (excluding plant areas). b. The stair serves a floor not more than 6m above either the ground level or a roof podium which is itself served by an independent protected stairway. c. The stair meets the provisions in paragraph 3.68. B1 See para 3.68 door set Example a. No fre resistance required for door Fire resisting window (minimum RE 30) 1100mm above top landing 1800mm Fd 1800mm 9m below stair fights and landings 1800mm Fd Fire doorset (minimum E 30) (minimum RE 30) Fd Ground level or a roof or podium served by an independent stairway Example b. 1100mm above top landing Fd 1800mm 1800mm 9m below stair fights and landings Ground level or a roof or podium served by an independent stairway Section A-A Section B-B A 1800mm B B NOTE: See paras 3.66 and 3.67 for the maximum height of stair. See para 3.68e for weather protection provisions. 1800mm Plan A
Diagram 3.11 Fi…",,,
98,11.10,11.10,Section 11 Resisting fire spread from one,"Exclude external walls of protected stairways when assessing unprotected areas (see Diagram 3.10). See para 11.7 b Area of fire resisting wall with materials more than 1mm thick and with a reaction to fire performance worse than class B-s3, d2 = a b Area of wall counted as unprotected area = 0.5a b Area of fire resisting wall with materials having a reaction to fire performance better than class B-s3, d2 a",Exclude external walls of stairways in a protected shaft when assessing unprotected areas (see,,,
99,3.65,3.65,"Appendix C , Table C1.",Flats may be served by an external stair if the provisions in paragraphs 3.66 to 3.69 are followed.,Flats may be served by an external stair if the provisions in paragraphs 3.66 to 3.69 are followed.,,,
100,,10.16,Section 10 Resisting fire spread over,,Regulation 7(3) provides an exemption for certain components found in external walls and specifed attachments. B4 Material change of use,,,
101,16.14,16.14,Section 16 Venting of heat and smoke from,"Natural smoke outlet shafts should be separated from each other using construction of class A1 rating and fire resistance at least equal to that of the storeys they serve, where the shafts are either of the following. a. From different compartments of the same basement storey. b. From different basement storeys. 108 Approved Document B Volume 1, 2019 edition R38 Regulation 38: Fire safety information This section deals with the following regulation of the Building Regulations 2010. Fire safety information 38. (1) This regulation applies where building work-
(a) consists of or includes the erection or extension of a relevant building; or
(b) is carried out in connection with a relevant change of use of a building, and Part B of Schedule 1 imposes a requirement in relation to the work. (2) The person carrying out the work shall give fire safety information to the responsible person not later than the date of completion of the work, or the date of occupation of the building or extension, whichever is the earlier. (3) In this regulation-
(a) ""fire safety information"" means information relating to the design and construction of the building or extension, and the services, fittings and …","Natural smoke outlet shafts should be separated from each other using construction of class A1 rating and fire resistance at least equal to that of the storeys they serve, where the shafts are either of the following. a. From different compartments of the same basement storey. b. From different basement storeys. R38 Regulation 38: Fire safety information This section deals with the following regulation of the Building Regulations 2010. Fire safety information 38. (1) This regulation applies where building work-
(a) consists of or includes the erection or extension of a relevant building; or
(b) is carried out in connection with a relevant change of use of a building, and Part B of Schedule 1 imposes a requirement in relation to the work. (2) The person carrying out the work must give fire safety information to the responsible person no later than-
(a) where the building, proposed building or extension to which the building work relates is not occupied during the building work, the date of completion of the work or the date of occupation of the building or the extension, whichever is the earlier;
(b) in any other case, the date of completion of the work. (2A) The responsible person…",,,
102,1.9,1.9,Section 1 Fire detection and alarm systems,Smoke alarms should be provided in the circulation spaces of the dwelling in accordance with paragraphs 1.1 to 1.4. NOTE: This does not apply where inner rooms are provided (see paragraph 2.11 for inner room requirements). B1 Blocks of flats,Smoke alarms should be provided in the circulation spaces of the dwelling in accordance with paragraphs 1.1 to 1.4. B1 Blocks of flats,,,
